,Unnamed: 0,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
0,0,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.0,0.0,41.9136
1,2,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,0.0,6.8714
2,4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.0,0.2,2.5164
3,5,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,0.0,14.1694
4,6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,0.0,1.9656
5,8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,Unknown_Product ID,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3.0,0.2,5.7825
6,9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,0.0,34.47
7,12,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3.0,0.2,5.4432
8,15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3.0,0.8,-3.816
9,17,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Staple envelope,54.594,2.0,0.0,9.99
10,18,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,0.0,2.4824
11,19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.0,0.2,16.011
12,20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,0.2,7.384
13,21,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,0.0,5.0596
14,22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,15.6884
15,23,Unknown_Order ID,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2.0,0.3,-1.0196
16,25,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,0.2,8.532
17,26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imationآ 8GB Mini TravelDrive USB 2.0آ Flash Drive,90.57,3.0,0.0,11.7741
18,28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2.0,0.7,-7.0532
19,29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3.0,0.2,15.525
20,30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,0.2,1.1016
21,31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,New York City,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.0,0.2,9.7092
22,32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6.0,0.7,-5.715
23,33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.0,0.2,3.546
24,34,Unknown_Order ID,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,0.2,9.9468
25,37,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,Staple envelope,113.328,9.0,0.2,35.415
26,39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3.0,0.3,-15.147
27,40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,0.2,41.7564
28,41,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Binders,Panasonic Kx-TS550,147.168,4.0,0.2,16.5564
29,42,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,0.0,3.894
30,43,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,0.2,9.5616
31,44,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,19.7714
32,45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.532
33,46,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,0.0,8.4784
34,47,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imationآ 8gb Micro Traveldrive Usb 2.0آ Flash Drive,45.0,3.0,0.0,4.95
